# MachinesNumber,Scale,Time,VirtualMachine
2,1,116.43,c3.large
4,1,87.29,c3.large
8,1,98.42,c3.large
16,1,58.86,c3.large
2,1,77.11,c3.medium
4,1,55.93,c3.medium
8,1,49.8,c3.medium
16,1,48.09,c3.medium
2,1,83.13,c3.xlarge
4,1,71.41,c3.xlarge
8,1,73.72,c3.xlarge
16,1,110.78,c3.xlarge
2,1,73.92,m1.large
4,1,61.87,m1.large
8,1,48.76,m1.large
16,1,46.6,m1.large
2,1,93.58,m1.medium
4,1,63.79,m1.medium
8,1,52.82,m1.medium
16,1,53.89,m1.medium
2,1,70.99,m1.xlarge
4,1,51.05,m1.xlarge
8,1,45.91,m1.xlarge
16,1,54.62,m1.xlarge
2,1,79.16,r2.large
4,1,65.05,r2.large
8,1,73.98,r2.large
16,1,52.76,r2.large
2,1,96.08,r2.medium
4,1,65.53,r2.medium
8,1,60.08,r2.medium
16,1,65.22,r2.medium
2,1,176.52,r2.small
4,1,118.14,r2.small
8,1,86.55,r2.small
16,1,85.7,r2.small
2,1,71.3,r2.xlarge
4,1,62.66,r2.xlarge
8,1,100.95,r2.xlarge
16,1,95.75,r2.xlarge
8,4,127.56,m1.large
16,4,153.75,m1.large
8,4,117.99,m1.xlarge
16,4,144.79,m1.xlarge
8,4,93.22,r2.large
16,4,171.83,r2.large
8,4,215.2,r2.xlarge
16,4,180.25,r2.xlarge
8,4,218.07,c3.large
16,4,174.51,c3.large
8,4,218.77,c3.xlarge
16,4,200.5,c3.xlarge
